EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
HALL CLEANING SERVICES LIMITED,"Knowsley Business Park, Caddick Road,
Prescot,
L34 9HP",01545130,96090,2.70,0.00,0.00,0.00,0.50,0.50,16.70,83.30,16.70,83.30,16.70,83.30,16.70,83.30,https://hallcleaning.uk/gender-pay-gap-report/,Allan Ashurst (Technical Director),250 to 499,HALL CLEANING SERVICES LIMITED,False
HAMMONDS FURNITURE LIMITED,"Manor Court Chambers, Townsend Drive,
Nuneaton,
CV11 6RU",01320508,31090,20.90,14.90,70.20,72.00,63.00,37.00,37.00,63.00,54.00,46.00,64.00,36.00,66.50,33.50,,Richard Hammonds (Group Chairman),500 to 999,HAMMONDS FURNITURE LIMITED,False
HIDDEN HEARING LIMITED,"Medway Street,
Maidstone,
Kent,
United Kingdom,
ME14 1HL",01990227,47741,28.00,25.00,80.00,86.00,84.00,89.00,25.00,75.00,15.00,85.00,44.00,56.00,75.00,25.00,http://www.hiddenhearing.co.uk/gender-pay/,Richard Boyd (Financial Director),250 to 499,HIDDEN HEARING LIMITED,False
HITACHI RAIL EUROPE LIMITED,"40 Holborn Viaduct,
London,
United Kingdom,
EC1N 2PB",05598549,49100,-0.90,-0.60,25.40,9.10,17.60,27.10,87.50,12.50,84.10,15.90,84.00,16.00,84.10,15.90,http://www.hitachirail-eu.com/sites/default/files/certificate-pdf/2018-04/Gender%20Pay%20Gap%20Doc%20April%202018%20FINAL.pdf,Karen Boswell (Managing Director),1000 to 4999,HITACHI RAIL EUROPE LIMITED,False
HOBBS FASHION HOLDINGS LIMITED,"Milton Gate,
60 Chiswell Street,
London,
United Kingdom,
EC1Y 4AG",07299448,70100,32.00,21.00,-79.00,-105.00,35.00,71.00,1.60,98.40,5.00,95.00,6.00,94.00,14.00,86.00,https://www.hobbs.co.uk/media/GENDER_PAY_GAP_v9.pdf?_1522227660000,Meg Lustman (CEO),1000 to 4999,HOBBS FASHION HOLDINGS LIMITED,False
HOMECARE DIRECT LIMITED,"Riverside House, Hady Hill,
Chesterfield,
Derbyshire,
England,
S41 0DT",04731807,"86900,
88100",0.50,5.80,62.80,-10.40,12.40,15.80,33.30,66.70,30.90,69.10,44.90,55.10,32.40,67.60,https://www.homecaredirect.co.uk,Roger Adams (Managing Director),250 to 499,HOMECARE DIRECT LIMITED,False
HOO HING LIMITED,"Hoo Hing House,
Freshwater Road,
Dagenham,
Essex,
United Kingdom,
RM8 1RX",02625487,46900,7.30,2.70,129.10,91.50,26.30,6.50,66.70,33.30,65.10,34.90,58.10,41.90,83.30,16.70,http://www.hoohing.co.uk/PBCPPlayer.asp?ID=1940733,Andrew Butt (IT Manager),250 to 499,HOO HING LIMITED,False
HOSPEDIA LIMITED,"Landmark Place,
1-5 Windsor Road,
Slough,
Berkshire,
United Kingdom,
SL1 2EJ",02841021,86900,19.00,31.90,77.00,0.00,8.10,6.70,46.50,53.50,58.10,41.90,95.30,4.70,72.10,27.90,,Clare Dalziel (Human Resources Director),Less than 250,HOSPEDIA LIMITED,False
HOST STAFFING LTD,"1a, High Street,
Hounslow,
TW3 1RH",10120220,78200,4.90,-2.20,0.00,0.00,0.00,0.00,44.10,55.90,42.40,57.60,32.60,67.40,43.80,56.20,https://www.host-staffing.co.uk/,Padma Akella (Finance Director),500 to 999,HOST STAFFING LTD,False
Inspire (Partnership Through Life) Ltd.,"Beach Boulevard,
Aberdeen,
United Kingdom,
AB24 5HP",SC113676,"87300,
88100",-1.10,-2.80,0.00,0.00,0.00,0.00,15.60,84.40,19.10,80.90,24.30,75.70,20.00,80.00,http://www.inspireptl.org.uk/,Sharon Catchpole (Director of People),500 to 999,Inspire (Partnership Through Life) Ltd.,False
